Park,Prov/State,Country,Adults,Child,partySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permits
Laurie,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,06/21/2013,06/23/2013,2,1
Mira River,NS,CANADA,2,3,5,CampsitePermit,Full,Less than 20ft,07/26/2013,07/28/2013,2,1
Battery,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,07/03/2013,07/04/2013,1,1
Caribou Munroes,NS,CANADA,5,,5,CampsitePermit,Senior,Tents,08/11/2013,08/12/2013,1,1
The Islands,NS,CANADA,2,,2,CampsitePermit,Host,Less than 20ft,08/12/2013,08/25/2013,13,1
Rissers Beach,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,07/16/2013,07/19/2013,3,1
Thomas Raddall,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 30ft,08/02/2013,08/05/2013,3,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,05/17/2013,05/20/2013,3,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,09/06/2013,09/07/2013,1,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,09/11/2013,09/12/2013,1,1
Porters Lake,NS,CANADA,1,1,2,CampsitePermit,Full,Single Tent,06/22/2013,06/23/2013,1,1
Smileys,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,06/14/2013,06/16/2013,2,1
Ellenwood Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/03/2013,08/05/2013,2,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/07/2013,07/08/2013,1,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/04/2013,08/06/2013,2,1
Whycocomagh,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/01/2013,08/02/2013,1,1
Rissers Beach,NS,CANADA,1,2,3,CampsitePermit,Full,Single Tent,07/26/2013,07/27/2013,1,1
Five Islands,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 20ft,07/30/2013,07/31/2013,1,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,09/06/2013,09/08/2013,2,1
Dollar Lake,NS,CANADA,2,3,5,CampsitePermit,Full,Single Tent,08/30/2013,09/01/2013,2,1
